"12/31/2009","ar","98","0","not available"
"12/31/2009","au","155","0","not available"
"12/31/2009","be","67","0","not available"
"12/31/2009","br","3663","0","not available"
"12/31/2009","ca","41","0","not available"
"12/31/2009","ch","42","0","not available"
"12/31/2009","cl","110","0","not available"
"12/31/2009","de","458","0","not available"
"12/31/2009","es","324","0","not available"
"12/31/2009","fr","846","0","not available"
"12/31/2009","gb","1166","0","not available"
"12/31/2009","il","30","0","not available"
"12/31/2009","in","1061","0","not available"
"12/31/2009","it","550","0","not available"
"12/31/2009","jp","44","0","not available"
"12/31/2009","kr","44","0","not available"
"12/31/2009","nl","67","0","not available"
"12/31/2009","pl","86","0","not available"
"12/31/2009","pt","45","0","not available"
"12/31/2009","sg","62","0","not available"
"12/31/2009","us","3580","0","not available"
"12/31/2010","ar","127","3","Defamation"
"12/31/2010","ar","127","3","Privacy and Security"
"12/31/2010","ar","127","70","Defamation"
"12/31/2010","br","1804","1","Copyright"
"12/31/2010","br","1804","315","Defamation"
"12/31/2010","br","1804","4","Privacy and Security"
"12/31/2010","br","1804","20","Other"
"12/31/2010","br","1804","4","Privacy and Security"
"12/31/2010","br","1804","190","Defamation"
"12/31/2010","br","1804","65","Other"
"12/31/2010","br","1804","4","Defamation"
"12/31/2010","br","1804","1","Impersonation"
"12/31/2010","br","1804","18","Privacy and Security"
"12/31/2010","br","1804","11574","Copyright"
"12/31/2010","br","1804","8","Impersonation"
"12/31/2010","br","1804","1","Pornography"
"12/31/2010","br","1804","33","Electoral Law"
"12/31/2010","br","1804","13","Copyright"
"12/31/2010","br","1804","16","Defamation"
"12/31/2010","br","1804","3","Impersonation"
"12/31/2010","br","1804","9","Government Criticism"
"12/31/2010","br","1804","2","Electoral Law"
"12/31/2010","br","1804","1","Government Criticism"
"12/31/2010","br","1804","21","Defamation"
"12/31/2010","br","1804","3","Hate Speech"
"12/31/2010","br","1804","56","Impersonation"
"12/31/2010","br","1804","1","Other"
"12/31/2010","ca","38","3","Defamation"
"12/31/2010","ca","38","12","Defamation"
"12/31/2010","ca","38","8","Defamation"
"12/31/2010","de","768","1","Pornography"
"12/31/2010","de","768","140","Hate Speech"
"12/31/2010","de","768","1","Defamation"
"12/31/2010","de","768","6","Copyright"
"12/31/2010","de","768","1351","Defamation"
"12/31/2010","de","768","1","Privacy and Security"
"12/31/2010","de","768","26","Defamation"
"12/31/2010","de","768","179","Other"
"12/31/2010","de","768","1","Government Criticism"
"12/31/2010","de","768","4","Defamation"
"12/31/2010","de","768","54","Privacy and Security"
"12/31/2010","de","768","4","Defamation"
"12/31/2010","de","768","2","Violence"
"12/31/2010","de","768","162","Other"
"12/31/2010","es","359","1","Privacy and Security"
"12/31/2010","es","359","7","Defamation"
"12/31/2010","es","359","8","Privacy and Security"
"12/31/2010","es","359","1","Other"
"12/31/2010","es","359","3","Defamation"
"12/31/2010","es","359","19","Other"
"12/31/2010","fr","1021","2","Pornography"
"12/31/2010","fr","1021","4","Hate Speech"
"12/31/2010","fr","1021","15","Defamation"
"12/31/2010","fr","1021","2","Privacy and Security"
"12/31/2010","fr","1021","5","Defamation"
"12/31/2010","fr","1021","87","Defamation"
"12/31/2010","fr","1021","1","Impersonation"
"12/31/2010","gb","1162","2","Copyright"
"12/31/2010","gb","1162","18","Privacy and Security"
"12/31/2010","gb","1162","1","Hate Speech"
"12/31/2010","gb","1162","93360","Other"
"12/31/2010","gb","1162","13","Privacy and Security"
"12/31/2010","gb","1162","17","Defamation"
"12/31/2010","gb","1162","20","Privacy and Security"
"12/31/2010","gb","1162","2","Privacy and Security"
"12/31/2010","gb","1162","2","Other"
"12/31/2010","gb","1162","30","Other"
"12/31/2010","gb","1162","41","Defamation"
"12/31/2010","gb","1162","9","Privacy and Security"
"12/31/2010","gb","1162","3","Defamation"
"12/31/2010","in","1699","9","Pornography"
"12/31/2010","in","1699","6","Pornography"
